Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time	AverageTestEpC0	StdTestEpC0	MaxTestEpC0	MinTestEpC0	AverageTestEpC1	StdTestEpC1	MaxTestEpC1	MinTestEpC1	TestEpLen
26	8.58890859733182	3.087439756928969	12.4906673771888	5.166505274809896	102.43298969072166	3.8338227	1.9473069	6.9168043	-1.5243024	270000	0.033592638	0.43914786	0.0074010864	-0.016124427	-39.88377	-0.009888252	331.1667082309723	17.17958519268781	6.657924196980896	23.837509389668707	10.521660995706915	-0.14133581172674903	0.016138615980744286	-0.12519719574600474	-0.15747442770749331	105.5
27	8.575884343692271	2.9888722388486433	12.77281920325011	5.1583479897864155	101.92857142857143	3.878929	1.9808512	6.9633207	-2.1813939	280000	-0.037448537	0.4094259	0.016639993	-0.010712087	-39.935616	-0.001399633	343.1496682167053	17.122762098610405	5.4819458634406395	22.604707962051044	11.640816235169765	-0.13908550132066005	0.020467966683208993	-0.11861753463745106	-0.15955346800386905	100.0
28	9.520469482740697	2.753953261657079	12.018421756960445	5.153456198796631	110.31111111111112	4.032074	1.9777659	6.8765697	-1.7813916	290000	0.5192357	0.35740438	0.0038303733	-0.04203227	-40.19318	0.014118425	355.23293232917786	17.573413385115565	5.8260768432542696	23.399490228369835	11.747336541861296	-0.14425526779145004	0.015018584839999627	-0.1292366829514504	-0.15927385263144966	105.5
29	8.71607823187687	2.8533142892266548	12.578767644856125	5.182439460400492	102.50515463917526	3.9261098	2.062679	6.8337827	-1.3939362	300000	-0.5231513	0.38533413	-0.02129668	-0.035045147	-39.878696	0.010486151	367.1693449020386	16.85034375716001	6.018168341405695	22.868512098565706	10.832175415754316	-0.14158768329769406	0.017843573503196264	-0.12374410979449779	-0.15943125680089032	99.5
30	9.227526485185107	2.8524496921079536	12.739272425677626	5.16270052883774	107.26881720430107	3.999225	1.9962238	6.8046517	-1.5134432	310000	0.23562159	0.3505672	-0.026892781	-0.017179936	-40.0184	-0.017513178	378.9850130081177	17.764339365214106	5.989266861453652	23.75360622666776	11.775072503760455	-0.14442488890141242	0.015546665638685175	-0.12887822326272724	-0.1599715545400976	103.5
31	9.992755314914573	2.7708425539287154	13.057575911730527	5.645451649948953	114.70114942528735	4.1486063	1.9884603	6.8110275	-1.6895224	320000	0.213775	0.29236618	0.015618995	-0.02535969	-40.275486	-0.016177466	390.8550760746002	23.725256890840832	0.9099075401946894	24.63516443103552	22.81534935064614	-0.13169940056279295	0.006491498854011346	-0.1252079017087816	-0.1381908994168043	134.5
32	10.47691889837822	2.26141753593586	12.743758846782157	5.96175442298874	120.18072289156626	4.3036385	2.0662978	6.95478	-1.3524349	330000	0.5031119	0.19323143	0.0043547153	-0.01790288	-40.494667	0.011643894	402.58089876174927	16.162846303209662	6.645215895473955	22.80806219868362	9.517630407735709	-0.12717444794252525	0.005752282757312044	-0.1214221651852132	-0.1329267306998373	102.5
33	9.59652626881069	3.0005994244461927	12.672564183250069	4.699740825705231	113.60227272727273	4.151766	2.1021345	6.802172	-1.1780409	340000	-0.6955206	0.4142338	0.018693447	-0.05110669	-40.272354	0.03914035	414.40176653862	15.861049035247412	6.364583723377432	22.225632758624844	9.49646531186998	-0.12145285660401006	3.825297579163056e-05	-0.12141460362821843	-0.12149110957980169	98.0
34	9.811329612771008	2.889905781945681	12.956159895677114	4.620963159389794	114.47126436781609	4.1106596	2.0467298	6.668825	-1.3910922	350000	0.026692541	0.34298432	-0.034554016	-0.009836614	-40.291225	-0.01669855	426.35448145866394	23.370432550702255	0.17889146095142117	23.549324011653674	23.19154108975083	-0.132272647321224	0.007446176819503325	-0.12482647050172069	-0.13971882414072734	128.5
35	9.739083746354085	2.9479984537958557	13.099944676868615	4.6564256351813675	112.35955056179775	4.1885247	2.0570557	6.699638	-1.051075	360000	-0.003368457	0.37320548	-0.027649535	-0.015528262	-40.286186	0.011688077	438.3195095062256	23.537676104828712	0.7558545219898267	24.293530626818537	22.781821582838884	-0.13094245662912724	0.007106231544167063	-0.12383622508496017	-0.1380486881732943	129.0
